dates,returns
2020-01-31,0.0
2020-02-29,-2.0946064465768632
2020-03-31,-8.586601377273851
2020-04-30,0.7455607102727857
2020-05-31,9.868700066945756
2020-06-30,22.624368528238172
2020-07-31,34.44421160023188
2020-08-31,48.85440642598775
2020-09-30,43.59574802443689
2020-10-31,35.94010423144469
2020-11-30,58.214689839362485
2020-12-31,70.95870150983359
2021-01-31,84.41254485896282
2021-02-28,86.89982907770583
2021-03-31,86.90562092618303
2021-04-30,88.95198642132249
2021-05-31,93.178317349996
2021-06-30,104.11381014824626
2021-07-31,94.96453184864954
2021-08-31,97.64059626395245
2021-09-30,84.46991591688892
2021-10-31,82.48345352365763
2021-11-30,78.01719554301359
2021-12-31,83.80252349776573
2022-01-31,62.5363015269272
2022-02-28,62.62687448429753
2022-03-31,66.45086189244192
2022-04-30,60.121934810505785
2022-05-31,60.668790461150145
2022-06-30,45.32211712454708
2022-07-31,58.330421819522904
2022-08-31,54.789664221872236
2022-09-30,37.006574267388984
2022-10-31,40.99637540322752
2022-11-30,46.618784880243446
2022-12-31,33.833803679009364
2023-01-31,44.767987679389655
2023-02-28,44.289758347112794
2023-03-31,47.55132025618036
2023-04-30,49.08581541943118
2023-05-31,54.97545941230908
2023-06-30,49.996229346198426
2023-07-31,53.37106331456063
2023-08-31,48.309342393186384
2023-09-30,43.773105398328326
2023-10-31,36.34836440288747
2023-11-30,52.47393287903759
2023-12-31,62.649245674501294
2024-01-31,53.73853270728392
2024-02-29,63.16076918661808
2024-03-31,68.8280926993702
2024-04-30,61.68872738181044
2024-05-31,54.08211681064663
2024-06-30,63.24379583133304
2024-07-31,62.8873987197508
2024-08-31,59.98218720117616
2024-09-30,57.46233176093472
2024-10-31,59.62023145514763
