005930,000660,042700,Cash,date
0.2,0.5,0.3,0.0,2015-01-31
0.19797028312207343,0.48687315389681923,0.3151565629811073,0.0,2015-02-28
0.2176723584080004,0.49276225988154687,0.28956538171045265,0.0,2015-03-31
0.21667705101960005,0.5078965513800001,0.2754263976004,0.0,2015-04-30
0.19807111037199693,0.5545953243577582,0.24733356527024497,0.0,2015-05-31
0.21342168400118278,0.5098816837492384,0.27669663224957897,0.0,2015-06-30
0.2,0.49999999999999994,0.29999999999999993,-0.0,2015-07-31
0.19235725991394803,0.5049497695237982,0.3026929705622538,-0.0,2015-08-31
0.20410324126675708,0.48218513867093465,0.31371162006230824,-0.0,2015-09-30
0.2412420012535205,0.43104403160448324,0.32771396714199613,-0.0,2015-10-31
0.22920088354197762,0.4504253199818256,0.3203737964761968,-0.0,2015-11-30
0.21455567608843423,0.41811816209234115,0.3673261618192246,-0.0,2015-12-31
0.2,0.5,0.3,0.0,2016-01-31
0.1912666585305451,0.5129681927604219,0.29576514870903303,0.0,2016-02-29
0.20808503451729957,0.47017616897218684,0.32173879651051357,0.0,2016-03-31
0.18991643922531457,0.4522169210778275,0.3578666396968578,0.0,2016-04-30
0.20127946760086846,0.4708624522396675,0.3278580801594641,0.0,2016-05-31
0.2105158063400689,0.504069079379922,0.2854151142800091,0.0,2016-06-30
0.2,0.5,0.3,0.0,2016-07-31
0.2035363167153566,0.5122059452805967,0.28425773800404663,0.0,2016-08-31
0.19443606359318635,0.547074263212852,0.25848967319396166,0.0,2016-09-30
0.1963081916328607,0.5492417111186042,0.2544500972485352,0.0,2016-10-31
0.20412499833410422,0.5609568206362215,0.23491818102967435,0.0,2016-11-30
0.19648103634670686,0.5451218154614185,0.25839714819187465,0.0,2016-12-31
0.20000000000000004,0.5,0.30000000000000004,-0.0,2017-01-31
0.2097865345679071,0.4682027006514263,0.3220107647806666,-0.0,2017-02-28
0.20924773394456944,0.47117010728354425,0.31958215877188634,-0.0,2017-03-31
0.20884222227416963,0.4643070773837458,0.3268507003420846,-0.0,2017-04-30
0.20071882184073964,0.47019524791870115,0.32908593024055927,-0.0,2017-05-31
0.19025654947928364,0.4955222261340843,0.314221224386632,-0.0,2017-06-30
0.19999999999999998,0.5,0.3,0.0,2017-07-31
0.1930554135731133,0.5220122092752087,0.28493237715167796,0.0,2017-08-31
0.184279979059931,0.5439109218610325,0.27180909907903655,0.0,2017-09-30
0.18918264518944894,0.5154686898577305,0.29534866495282047,0.0,2017-10-31
0.17372908092862088,0.4795270837943894,0.3467438352769896,0.0,2017-11-30
0.1745076518262636,0.47828812896848805,0.3472042192052484,0.0,2017-12-31
0.2,0.5000000000000001,0.3,0.0,2018-01-31
0.1867866521923256,0.5173784681660503,0.2958348796416241,0.0,2018-02-28
0.19057656419809688,0.5342833550312309,0.2751400807706722,0.0,2018-03-31
0.20171814162652785,0.5458571621584751,0.252424696214997,0.0,2018-04-30
0.18857875408384545,0.5896372257835306,0.221784020132624,0.0,2018-05-31
0.19008409796646683,0.5926907853874472,0.217225116646086,0.0,2018-06-30
0.19999999999999998,0.49999999999999994,0.3,0.0,2018-07-31
0.2026132881719737,0.46504307935942607,0.3323436324686002,0.0,2018-08-31
0.21929992818527227,0.4623928374018727,0.318307234412855,0.0,2018-09-30
0.2189641525859015,0.471880997544546,0.30915484986955255,0.0,2018-10-31
0.2218440132717355,0.4943134648254862,0.2838425219027783,0.0,2018-11-30
0.22706249346511242,0.475587862428602,0.2973496441062855,0.0,2018-12-31
0.2,0.5,0.3,-0.0,2019-01-31
0.1993690555798517,0.48311055424174737,0.31752039017840095,-0.0,2019-02-28
0.19414848740196358,0.503713660651228,0.30213785194680837,-0.0,2019-03-31
0.18375572203950252,0.49430601877166097,0.3219382591888364,-0.0,2019-04-30
0.20670619603795506,0.4958439535532923,0.29744985040875255,-0.0,2019-05-31
0.21258584092714494,0.4907819226929346,0.2966322363799204,-0.0,2019-06-30
0.2,0.49999999999999994,0.29999999999999993,-0.0,2019-07-31
0.20217426136229855,0.5243304860689727,0.2734952525687287,-0.0,2019-08-31
0.20541717987139013,0.5075286096491147,0.28705421047949514,-0.0,2019-09-30
0.20834071003094612,0.49974495221071435,0.29191433775833964,-0.0,2019-10-31
0.21470129651375894,0.5091035950545921,0.2761951084316489,-0.0,2019-11-30
0.20033925477132475,0.49809529417543397,0.3015654510532413,-0.0,2019-12-31
0.19999999999999998,0.49999999999999994,0.3,0.0,2020-01-31
0.20002501073123152,0.4891943052078478,0.3107806840609207,0.0,2020-02-29
0.19881501305419985,0.5230320514769983,0.27815293546880193,0.0,2020-03-31
0.198128564460016,0.5001612575802717,0.30171017795971233,0.0,2020-04-30
0.1925139515253707,0.466680183095233,0.3408058653793963,0.0,2020-05-31
0.20806083581228788,0.5057006107185268,0.2862385534691855,0.0,2020-06-30
0.2,0.5000000000000001,0.3,-0.0,2020-07-31
0.20824254865394842,0.506295285318526,0.2854621660275257,-0.0,2020-08-31
0.206648935468594,0.5214080229681579,0.27194304156324794,-0.0,2020-09-30
0.20522032672433135,0.5064527788955511,0.28832689438011766,-0.0,2020-10-31
0.20424814120307158,0.5219454670883036,0.27380639170862486,-0.0,2020-11-30
0.19248258635797635,0.4922809303207303,0.3152364833212934,-0.0,2020-12-31
0.2,0.5,0.3,0.0,2021-01-31
0.17801399354144243,0.5109452979743615,0.3110407084841961,0.0,2021-02-28
0.176217807240082,0.480019674989593,0.34376251777032485,0.0,2021-03-31
0.15676016347038738,0.4120081822424404,0.4312316542871723,0.0,2021-04-30
