dates,returns
2015-01-31,0.0
2015-02-28,0.43317395532369574
2015-03-31,-3.0030580457151013
2015-04-30,-4.653766690447192
2015-05-31,-3.316626467043915
2015-06-30,-12.948139896358335
2015-07-31,-25.794623461305342
2015-08-31,-29.096721630362733
2015-09-30,-30.41587484734829
2015-10-31,-28.772417030143238
2015-11-30,-29.83900252293491
2015-12-31,-26.450867396229505
2016-01-31,-31.278769943752827
2016-02-29,-26.391308182030592
2016-03-31,-24.644307037893263
2016-04-30,-21.65164686292208
2016-05-31,-23.283970343652925
2016-06-30,-19.099122143033874
2016-07-31,-13.487612888540646
2016-08-31,-10.516538656837538
2016-09-30,-7.600498908580144
2016-10-31,-6.133591227999757
2016-11-30,-3.8348492941555734
2016-12-31,3.110719619851743
2017-01-31,17.040044259327836
2017-02-28,8.695899818172649
2017-03-31,16.800269444826334
2017-04-30,26.74144438887911
2017-05-31,32.1072998543916
2017-06-30,48.22687526023337
2017-07-31,47.31425813498973
2017-08-31,46.660886825252334
2017-09-30,70.09737157078062
2017-10-31,77.9673683527954
2017-11-30,78.7388381606921
2017-12-31,78.50183502566917
2018-01-31,74.50584547361822
2018-02-28,76.21607103920267
2018-03-31,80.6390104977627
2018-04-30,83.76819108829667
2018-05-31,88.0418981877191
2018-06-30,71.65058628340041
2018-07-31,81.84657775740803
2018-08-31,88.0395692212696
2018-09-30,66.55996456378664
2018-10-31,52.27065881187596
2018-11-30,48.34439440747311
2018-12-31,34.02596819010386
2019-01-31,55.0267333444117
2019-02-28,51.979032845249826
2019-03-31,54.508486384571555
2019-04-30,67.63448113441703
2019-05-31,38.13391518768165
2019-06-30,48.53486598267551
2019-07-31,49.36008540011092
2019-08-31,43.35540397607629
2019-09-30,57.2857967494504
2019-10-31,59.34691288145579
2019-11-30,54.319417583973895
2019-12-31,83.46591978879087
2020-01-31,87.37675530881866
2020-02-29,80.0452176258787
2020-03-31,59.58453622322251
2020-04-30,67.68318614739141
2020-05-31,74.98964773158889
2020-06-30,68.62042892407878
2020-07-31,98.00487490776715
2020-08-31,77.35833543625412
2020-09-30,92.62698494022108
2020-10-31,88.63547552866109
2020-11-30,123.35466920926467
2020-12-31,187.81994643073028
2021-01-31,197.29685285525932
2021-02-28,236.05182670514847
2021-03-31,234.9508368667995
2021-04-30,276.98872038103696
2021-05-31,266.32000388443083
2021-06-30,272.97050209107687
2021-07-31,266.3865960117504
2021-08-31,248.6379918955914
2021-09-30,230.16482789802026
2021-10-31,229.29993636360058
2021-11-30,249.9619557752947
2021-12-31,299.9239083940809
2022-01-31,275.3094039338591
2022-02-28,268.072925455976
2022-03-31,261.82975519913043
2022-04-30,237.58602011247544
2022-05-31,225.0858354313062
2022-06-30,176.6719526649915
2022-07-31,197.7205488982328
2022-08-31,182.37327410863807
2022-09-30,149.304291060071
2022-10-31,161.42166445671987
2022-11-30,178.21987864533915
2022-12-31,143.7526768467298
2023-01-31,187.7369888472147
2023-02-28,199.4533752245104
2023-03-31,230.15437672905858
2023-04-30,232.1213452294949
2023-05-31,305.1850248671755
2023-06-30,338.53774180196785
2023-07-31,461.0740110028087
2023-08-31,491.9916967053996
2023-09-30,453.62109915436963
2023-10-31,454.1529269022342
2023-11-30,542.1731190702252
2023-12-31,562.0205321823323
2024-01-31,526.825320908432
2024-02-29,661.6697515062322
2024-03-31,896.199223732343
2024-04-30,871.4388183325941
2024-05-31,984.9767665543665
2024-06-30,1142.784661194779
2024-07-31,917.7672581395548
2024-08-31,800.957846312151
2024-09-30,757.8280164401203
2024-10-31,788.8425169914409
